Date,Time,Journey,Charge (GBP),Capped,Notes
01/05/2025,08:04 - 08:59,Brentford to Tottenham Court Road,-7.30,N,
01/05/2025,17:56 - 18:54,Tottenham Court Road to Brentford,-5.50,Y,
02/05/2025,08:11,"Bus Journey, Route E8",-1.75,N,
02/05/2025,08:48 - 09:10,Ealing Broadway to Tottenham Court Road,-3.80,N,
02/05/2025,17:08 - 18:03,Tottenham Court Road to Whitton,-8.55,Y,
03/05/2025,14:48 - 15:25,Whitton to Gunnersbury,-3.20,N,
03/05/2025,15:41,"Bus Journey, Route 267",-1.40,Y,
06/05/2025,08:04 - 08:50,Brentford to Tottenham Court Road,-7.30,N,
06/05/2025,18:27 - 19:24,Tottenham Court Road to Brentford,-5.50,Y,
07/05/2025,08:05 - 08:50,Brentford to Tottenham Court Road,-7.30,N,
07/05/2025,17:27 - 18:27,Tottenham Court Road to Brentford,-5.50,Y,
08/05/2025,08:05 - 08:50,Brentford to Tottenham Court Road,-7.30,N,
08/05/2025,17:45 - 18:39,Tottenham Court Road to Brentford,-5.50,Y,
09/05/2025,08:21 - 09:09,Brentford to Tottenham Court Road,-7.30,N,
09/05/2025,17:10 - 17:38,Tottenham Court Road to Ealing Broadway,-3.80,N,
09/05/2025,17:47,"Bus Journey, Route E2",-1.70,Y,
10/05/2025,12:57,"Bus Journey, Route E2",-1.75,N,
10/05/2025,13:07 - 13:29,Northfields to Earls Court,-2.10,N,
10/05/2025,13:29 - 13:37,Earls Court to High Street Kensington,-2.80,N,
10/05/2025,17:05 - 17:33,Earls Court to Northfields,-2.10,N,
10/05/2025,17:38,"Bus Journey, Route E2",-1.75,N,
12/05/2025,08:04 - 08:50,Brentford to Tottenham Court Road,-7.30,N,
12/05/2025,17:17 - 18:08,Tottenham Court Road to Brentford,-5.50,Y,
13/05/2025,08:05 - 08:54,Brentford to Tottenham Court Road,-7.30,N,
13/05/2025,17:21 - 18:28,Tottenham Court Road to Brentford,-5.50,Y,
14/05/2025,08:05 - 08:06,Brentford to Tottenham Court Road,-7.30,N,This journey was corrected based on information you supplied.
14/05/2025,08:10,"Bus Journey, Route E2",-1.75,N,
14/05/2025,08:43 - 09:02,Ealing Broadway to Tottenham Court Road,-3.75,Y,
14/05/2025,17:46 - 18:11,Tottenham Court Road to West Ealing,0.00,Y,
14/05/2025,18:21,"Bus Journey, Route E2",0.00,Y,
15/05/2025,08:05 - 08:54,Brentford to Tottenham Court Road,-7.30,N,
15/05/2025,17:56 - 18:53,Tottenham Court Road to Brentford,-5.50,Y,
16/05/2025,08:19,"Bus Journey, Route E2",-1.75,N,
16/05/2025,08:46 - 09:10,Ealing Broadway to Tottenham Court Road,-3.80,N,
16/05/2025,19:41 - 20:00,Tottenham Court Road to High Street Kensington,-2.80,N,
16/05/2025,21:37,"Bus Journey, Route 27",-1.75,N,
16/05/2025,22:06 - 22:19,"Hammersmith (District, Piccadilly lines) to Northfields",-0.40,Y,
16/05/2025,22:25,"Bus Journey, Route E2",0.00,N,
17/05/2025,10:00 - 10:25,Ealing Broadway to Heathrow T2&3 (Elizabeth line / Heathrow Express),-7.50,N,
